"%s days","%s Tage"
"Access denied!","Keinen Zugang!"
"Account Information","Account Information"
"Action is blocked in quote confirmation mode","Aktion ist blokkiert in Anfrage Best\u00e4tigung Status"
"Add to Cart","Bestellen"
"Add to Quote","Anfrage"
"Address","Adresse"
"All items were moved to cart successfully.","Alle Produkte sind erfolgreich auf Palletwagen gestellt"
"Allowed to Quote Mode","Zugelassen zur Anfrage Umgebung"
"Atr. nr.","Art. Nummer"
"Back to My Quotes","Zur\u00fcck nach Meine Anfragen"
"Be advised to enter your comments","H\u00f6r auf; Bemerkungen usw. nur eingeben wann Sie fertig sind im Shop. Alle Information wird eliminiert wann Sie weggehen von diese Pagina. Wann Sie ein Account haben k\u00f6nnen Sie sich jetzt anmelden."
"Billing address wasn't added","Rechnungsadresse ist nicht hinzugef\u00fcgt"
"By deleting an item, you will create a new quote request. Do you want to do this?","Ein Produkt eliminieren macht ein neue Preis Anfrage. Wollen Sie das?"
"Can not add client note request to the product.","Kann Bemerkung nicht hinzuf\u00fcgen an Produkt."
"Can not add customer address.","Kann Adresse nicht hinzuf\u00fcgen."
"Can not add one of the items to quote request.","Kann ein dieser Produkten nicht hinzuf\u00fcgen an Preis Anfrage."
"Cancel","Stornieren"
"Can't remove item","Kann Produkt nicht eliminieren"
"Can't update quote list","Kann Preis Anfrage nicht aktualisieren"
"cart2quote cancel","cart2quote annulieren"
"cart2quote new account","cart2quote Neu Account"
"cart2quote proposal","cart2quote Angebot"
"cart2quote reject","cart2quote ablehnen"
"cart2quote request","cart2quote Anfrage"
"Change to Order mode?","Umschalten nach Bestel Modus?"
"Change to Quotation mode?","Umschalten nach Anfrage Modus?"
"Change to Quote mode?","Umschalten nach Anfrage Modus?"
"Checking..","Kontrolieren..."
"City","Ort"
"Company","Firma"
"Confirm and CheckOut","Best\u00e4tigen und weiter gehen"
"Continue","Weitergehen"
"Continue Shopping","Weiter shoppen"
"Country","Land"
"Customer email already exists. You should login here","Das E-Mail Adresse besteht schon bei uns. Bitte <a href="%s">hier einloggen</a>"
"Date","Datum"
"Date of Proposal","Angebotsdatum"
"Default Address","Standard Adresse"
"Do you have a general remark with your quote request?","Haben Sie ein Bemerkung bei diese Anfrage?"
"Edit Quote","Anfrage bearbeiten"
"Email Address","E-mail Adresse"
"Email already exists","E-Mail Adresse besteht schon"
"Enter your destination to get a shipping quotation","Bitte geben Sie das Adresse ein"
"Enter your details to get a price proposal","Bitte geben Sie Ihre Daten ein f\u00fcr ein Angebot"
"Fax","Fax"
"First Name","Vorname"
"Fixed Shipping & Handling price","Feststehende Versand- und Bearbeitungskosten"
"Information by Quote request avaliable by link below","Information f\u00fcr Preis Angebot verf\u00fcgbar durch diese Link"
"Item %s wasn't  moved to Shopping cart","Produkt %s ist nicht auf das Palletwagen gestellt"
"Item %s wasn't  removed from Quote mode","Produkt %s is nicht eliminiert von Preis Anfrage"
"Item was deleted successfully.","Produkt ist erfolgreich eliminiert."
"Item was moved to cart successfully.","Das Produkt ist erfolgreich auf das Palletwagen gestellt."
"Item was moved to quote successfully.","Das Produkt ist erfolgreich verschoben nach Anfrage Liste"
"Item(s) were moved from Quote to Order mode successfully.","Produkt(en) erfolgreich verschoben von Anfrage Liste zu Palletwagen"
"Items Quoted","Produkten Angefragt"
"Last Name","Familienname"
"Log in and <a href='%s'>click on to View Quote.</a>","Einloggen und <a href='%s'>Angebot schauen.</a>"
"My Quote list","Mein Preis Anfrage"
"My quote request","Mein Preis Anfrage"
"My quote request (%s item)","Mein Preis Anfrage (%s Item)"
"My quote request (%s items)","Mein Preis Anfrage (%s Items)"
"My Quotes","Mein Preis Anfragen"
"New Address","Neue Adresse"
"No item in quote.","Kein Produkte in Preis Anfrage Liste."
"No Items to display.","Kein Produkte um zu zeigen."
"Order Mode","Bestellen"
"Original Price","Normale Preis"
"Owner price","Angebot"
"Please enter an valid email address","Bitte geben Sie eine g\u00fcltige E-Mail Adresse ein"
"Please select region, state or province","Bitte Land\/Bundesland w\u00e4hlen"
"Please select required qty and check out online to see applicable price.","Geben Sie die Menge ein und schau die Preis online."
"Please specify product quantity.","Hier gew\u00fcnschte Menge ausf\u00fcllen bitte."
"Price Proposal","Angebotspreis"
"Product %s successfully added to Quote Request","Produkt %s ist erfolgreich zugef\u00fcgt an Preis Anfrage"
"Product %s was deleted from your shopping cart","Produkt %s ist erfolgreich eliminiert von Palletwagen"
"Product Name","Produktname"
"Proposal valid until","Angebot g\u00fcltig bis"
"Proposal Valid Until: %s","Angebot g\u00fcltig bis: "
"Qquote cancel email was't sent to admin for quote #%s","Anfrage-annulieren E-Mail ist nicht nach Shophouse versand f\u00fcr Anfrage #%s"
"Qquote proposal email was't sent to the client for quote #%s","Das Angebot E-Mail ist nicht nach Kunde versand f\u00fcr Anfrage #%s"
"Qquote request email was't sent to admin for quote #%s","Preis Anfrage E-Mail ist nicht nach Shophouse versand f\u00fcr Anfrage #%s"
"Qty","Menge"
"Quotation # %s","Angebot # %s"
"Quotation #%s - Proposal","Preis Anfrage #%s"
"Quotation #%s was rejected","Angebot #%s ist abgelehnt"
"Quotation Date: %s","Preis Anfrage Datum: %s"
"Quote","Preis Anfrage"
"Quote #","Preis Anfrage #"
"Quote #%s","Angebot #%s"
"Quote List","Anfrage Liste"
"Quote list was updated successfully.","Anfrage Liste ist erfolgreich aktualisiert."
"Quote mode","Anfrage Modus"
"Quote Proposal","Angebotsnummer"
"Quote request information","Preis Anfrage Information"
"Quote shipping proposal from owner","Versandangebot"
"Quote Status","Preis Anfrage Status"
"Reject Proposal","Angebot ablehnen"
"Remark with Proposal","Bemerkung bei Angebot"
"Remove","Entziehen"
"Remove item","Produkt entziehen"
"Request for Quote","Preis Anfrage"
"Request information","Bemerkungen bei Produkt"
"Request quote","Preisanfrage Senden"
"Requested information","Bemerkungen"
"Required Fields","Pflichtfeld"
"ship to:","Versand:"
"Shipping & Handling price per product per Unit","Versand- und Bearbeitungskosten je Produkt"
"Shipping & Handling price varies.","Versand- und Bearbeitungskosten variieren."
"Shipping Address","Versand Adresse"
"Shipping details","Versand Daten"
"Shipping Method","Versand Methode"
"State/Province","Bundesland"
"Status","Status"
"STATUS_BEGIN","Angefangen"
"STATUS_CANCELED","Angebot annuliert"
"STATUS_CONFIRMED","Angebot akzeptiert"
"STATUS_DENIED","Angebot abgelehnt"
"STATUS_PROPOSAL","Angebot geschickt"
"STATUS_PROPOSAL_EXPIRED","Angebot abgelaufen"
"STATUS_PROPOSAL_SAVED","Angebot bewahrt"
"STATUS_REJECTED","Eliminiert"
"STATUS_REQUEST","Verarbeitung"
"STATUS_REQUEST_EXPIRED","Anfrage abgelaufen"
"Switch to Order mode","Umschalten nach Bestel Modus"
"Switch to Quote mode","Umschalten nach Anfrage Modus"
"TAX","MwSt"
"Telephone","Telefon"
"Thank you for your interest!","Vielen Dank f\u00fcr Ihr Interesse!"
"Thanks for your Quote request.","Vielen Dank f\u00fcr Ihr Preis Anfrage."
"The address was successfully saved","Adresse ist erfolgreich aufbewahrt"
"There are <a href=%s><strong>%s items</strong></a> in your quote list.","Da sind jetzt <a href=%s><strong>%s Produkten</strong></a> in Ihre Preis Anfrage."
"There is <a href=%s><strong>1 item</strong></a> in your quote list.","Da ist jetzt <a href=%s><strong>1 Produkt</strong></a> in Ihre Preis Anfrage."
"This item will be removed from the list if you continue:","Das Produkt werd von Liste eliminiert wann Sie weiter gehen:"
"The following item will not be added to the quotation list if you continue:","Die folgenden Produkte werden nicht an Ihrem Angebot hinzugefugt werden, wenn du gehst:"
"This order list contains items that cannot quoted.","Auf Ihre Palletwagen sind Produkte wof\u00fcr ein Preis Anfrage nicht m\u00f6glich ist."
"To add item to the Quote mode <a href='%s'>log out</a> from Quote confirmation mode.","Wann Sie ein Preisaufgabe empfangen wollen dann sollen Sie bitte <a href='%s'>ausloggen</a> aus die Anfrage-Best\u00e4tgigung Status."
"To add item to the Quote mode <a href='%s'>switch the shopping cart to Quote mode.</a>","Wann Sie ein Preisaufgabe empfangen wollen dann sollen Sie bitte <a href='%s'>Umschalten von Bestel- nach Anfrage Umgebung.</a>"
"To add item to the Shopping cart <a href='%s'>log out</a> from Quote confirmation mode.","Wann Sie ein Produkt bestellen wollen, dann sollen Sie bitte <a href='%s'>ausloggen</a> aus diese Anfrage Umgebung."
"To add product to the Order mode <a href='%s'>switch the Shopping cart to Order mode.</a>","Wann Sie das Produkt bestellen wollen, dan sollen Sie bitte <a href='%s'>umschalten nach Bestel Umgebung.</a>"
"Unable to send email.","Kann E-mail nicht schicken."
"Unit price","St\u00fcckpreis"
"Unknown exception","Unbekannte Ausnahme"
"View Quote","Schau Angebot"
"You are in a quote confirmation mode, <a href='%s'>log out</a>.","Sie k\u00f6nnen jetzt ein Anfrage best\u00e4tigen, <a href='%s'>ausloggen</a>."
"You have placed no quotes.","Sie haben noch kein laufende Preis Anfragen."
"You log out successfully from Quote confirmation mode.","Erforlgreich ausgelogd aus Preis Anfrage best\u00e4tigungs Umgebung."
"You will receive a quote confirmation email with a link to track progress.","Sie empfangen ein Angebotbest\u00e4tigungs E-Mail mit ein Link um das Fortschritt zu folgen"
"Your order list contains items that cannot quoted.","Auf Ihre Palletwagen sind Produkte wof\u00fcr ein preis Anfrage nicht m\u00f6glich ist."
"Your quote has been canceled","Ihren Preis Anfrage ist storniert"
"Your quote has been received","Wir haben Ihre Preis Anfrage erhalten"
"Your quote list contains items that cannot ordered.","Auf Ihre Preis Anfrage Liste sind Produkte wof\u00fcr ein bestellung nicht m\u00f6glich ist."
"Your quote request has been received","Wir haben Ihre Preis Anfrage empfangen"
"Your quote request has been submitted successfully.","Ihr Preis Anfrage ist erfolgreich geschickt."
"Your shopping cart will be changed to Quote Request if you continue.","Ihre Palletwagen werd umgeschaltet nach ein Preis Anfrage Liste wann Sie weiter gehen."
"You're welcome to place a new Request for Quote","Fragen Sie uns um ein neues Angebot"
"Zip/Postal Code","Postleitzahl"
"Add Qty", "Staffel"
"enter your address", "Geben Sie Ihre Adresse"
"enter your city", "Geben Sie Ihre Stadt"
"enter your Zip", "Geben Sie Ihre Postleitzahl"
"enter your state", "Geben Sie Ihr Bundesland"
"Request a shipping quote", "Fordern Sie eine Lieferung Zitat"
"Total price", "Total price"