"%s days","%s days"
"Access denied!","Access denied!"
"Account Information","Account Information"
"Action is blocked in quote confirmation mode","Action is blocked in Quote Request confirmation mode"
"Add to Cart","Add to Cart"
"Add to Quote","Add to Quote"
"Address","Address"
"All items were moved to cart successfully.","All items were moved to shopping Cart successfully."
"Allowed to Quote Mode","Allowed to Quote Mode"
"Atr. nr.","Sku"
"Back to My Quotes","Back to My Quotes"
"Be advised to enter your comments","Be advised to enter your comments, desired quantities and details only when you're done shopping. This information will be lost when leaving this screen without submitting your Request. If you have an account with us, please login first."
"Billing address wasn't added","Billing address wasn't added"
"By deleting an item, you will create a new quote request. Do you want to do this?","By deleting an item, you will create a new Quote Request. Do you want to do this?"
"Can not add client note request to the product.","Cannot add client note request to the product."
"Can not add customer address.","Cannot add customer address."
"Can not add one of the items to quote request.","Cannot add one of the items to the Quote Request."
"Can't remove item","Can't remove item"
"Can't update quote list","Can't update Quote Request"
"Cancel","Cancel"
"cart2quote cancel","cart2quote cancelled"
"cart2quote new account","cart2quote new account"
"cart2quote proposal","cart2quote proposal"
"cart2quote reject","cart2quote rejected"
"cart2quote request","cart2quote new request"
"Change to Order mode?","Change to Order mode?"
"Change to Quotation mode?","Change to Quotation mode?"
"Change to Quote mode?","Change to Quote mode?"
"Checking..","Checking.."
"City","City"
"Company","Company"
"Confirm and CheckOut","Confirm and Checkout"
"Continue","Continue"
"Continue Shopping","Continue Shopping"
"Country","Country"
"Customer email already exists. You should login here","Customer email already exists. You should login <a href=%s>here</a>"
"Date","Date"
"Date of Proposal","Date of Proposal"
"Default Address","Default Address"
"Do you have a general remark with your quote request?","Do you have a general remark with this Quote Request?"
"Edit Quote","Edit Quote"
"Email Address","Email Address"
"Email already exists","Email address already exists"
"Enter your destination to get a shipping quotation","Enter your destination to get a shipping quotation"
"Enter your details to get a price proposal","Enter your details to get a price proposal"
"Fax","Fax"
"First Name","First Name"
"Fixed Shipping & Handling price","Fixed Shipping & Handling price"
"Information by Quote request avaliable by link below","Information by Quote Request avaliable by link below"
"Item %s wasn't  moved to Shopping cart","Item %s wasn't  moved to Shopping Cart"
"Item %s wasn't  removed from Quote mode","Item %s wasn't  removed from Quote Request mode"
"Item was deleted successfully.","Item was deleted successfully."
"Item was moved to cart successfully.","Item was moved to Cart successfully."
"Item was moved to quote successfully.","Item was moved to Quote Request successfully."
"Item(s) were moved from Quote to Order mode successfully.","Item(s) were moved from Quote Request to the Cart successfully."
"Items Quoted","Items Requested"
"Last Name","Last Name"
"Log in and <a href='%s'>click on to View Quote.</a>","Login in and <a href='%s'>click on to View Quote.</a>"
"My Quote list","My Quote Request"
"My quote request","My Quote Request"
"My quote request (%s item)","My Quote Request (%s item)"
"My quote request (%s items)","My Quote Request (%s items)"
"My Quotes","My Quotes"
"New Address","New Address"
"No item in quote.","No item(s) in Quote Request List."
"No Items to display.","No Items to display."
"Order Mode","Move to Shopping cart"
"Original Price","Original Price"
"Owner price","Price Proposal"
"Please enter an valid email address","Please enter a valid email address"
"Please select region, state or province","Please select region, state or province"
"Please select required qty and check out online to see applicable price.","Please select required quantity and checkout online to see applicable price."
"Please specify product quantity.","Please specify product quantity."
"Price Proposal","Price Proposal"
"Print Quote","Print Quote"
"Product %s successfully added to Quote Request","Product %s successfully added to Quote Request"
"Product %s was deleted from your shopping cart","Product %s was deleted from your shopping cart"
"Product Name","Product Name"
"Proposal valid until","Proposal valid until"
"Proposal Valid Until: %s","Proposal Valid until: %s"
"Qquote cancel email was't sent to admin for quote #%s","Quote Cancel email wasn't sent to admin for Quote Request #%s"
"Qquote proposal email was't sent to the client for quote #%s","Quote Proposal email wasn't sent to the client for Quote Request #%s"
"Qquote request email was't sent to admin for quote #%s","Quote Request email wasn't sent to admin for Quote Request #%s"
"Qty","Qty"
"Quotation # %s","Quotation # %s"
"Quotation #%s - Proposal","Quote Request #%s"
"Quotation #%s was rejected","Quotation #%s was rejected successfully."
"Quotation Date: %s","Quote Request Date: %s"
"Quote","Request for Quote"
"Quote #","Quote #"
"Quote #%s","Quote Request #%s"
"Quote List","Quotation List"
"Quote list was updated successfully.","Quote List was updated successfully."
"Quote mode","Quote mode"
"Quote Mode","Copy to Quotation"
"Quote Proposal","Quote Proposal"
"Quote Request in Process, wait for price proposal Shopowner","Quote Request in Process, wait for price proposal Shopowner"
"Quote request information","Quote request information"
"Quote shipping proposal from owner","Shipping price Proposal"
"Quote Status","Quote Request Status"
"Reject Proposal","Reject Proposal"
"Remark with Proposal","Remark with Proposal"
"Remove","Remove"
"Remove item","Remove Item"
"Request for Quote","Request for Quote"
"Request information","Remarks with product"
"Request quote","Submit Quote Request"
"Requested information","Comment with Product"
"Required Fields","Required Fields"
"Resubmit Quote","Resubmit Quote"
"ship to:","ship to:"
"Shipping & Handling price per product per Unit","Shipping & Handling price per Item"
"Shipping & Handling price varies.","Shipping & Handling price varies."
"Shipping Address","Shipping Address"
"Shipping details","Shipping details"
"Shipping Method","Shipping Method"
"State/Province","State/Province"
"Status","Status"
"STATUS_BEGIN","Starting"
"STATUS_CANCELED","Proposal cancelled"
"STATUS_CONFIRMED","Proposal accepted"
"STATUS_DENIED","Proposal rejected"
"STATUS_PROPOSAL","Proposal sent"
"STATUS_PROPOSAL_EXPIRED","Proposal expired"
"STATUS_PROPOSAL_SAVED","Proposal saved"
"STATUS_REJECTED","Deleted"
"STATUS_REQUEST","Processing"
"STATUS_REQUEST_EXPIRED","Request expired"
"Switch to Order mode","Switch to Order mode"
"Switch to Quote mode","Switch to Quote mode"
"TAX","TAX"
"Telephone","Telephone"
"Thank you for your interest!","Thank you for your interest!"
"Thanks for your Quote request.","Thanks for your Quote Request."
"The address was successfully saved","The address was successfully saved"
"There are <a href=%s><strong>%s items</strong></a> in your quote list.","There are <a href=%s><strong>%s items</strong></a> in your Quote list."
"There is <a href=%s><strong>1 item</strong></a> in your quote list.","There is <a href=%s><strong>1 item</strong></a> in your Quote list."
"This item will be removed from the list if you continue:","The following item(s) will be removed from the list if you continue:"
"The following item will not be added to the quotation list if you continue:","The following item(s) will not be added to the quotation list if you continue:"
"This order list contains items that cannot quoted.","This shopping Cart contains items that cannot be Quoted."
"To add item to the Quote mode <a href='%s'>log out</a> from Quote confirmation mode.","To add an item to Quote Request <a href='%s'>log out</a> from Quote Confirmation mode."
"To add item to the Quote mode <a href='%s'>switch the shopping cart to Quote mode.</a>","To add an item to the Quote Request <a href='%s'>switch the shopping Cart to Quote mode.</a>"
"To add item to the Shopping cart <a href='%s'>log out</a> from Quote confirmation mode.","To add item to the Shopping cart <a href='%s'>log out</a> from Quote Confirmation mode."
"To update item to the Shopping cart <a href='%s'>log out</a> from Quote confirmation mode.","To update item to the Shopping cart <a href='%s'>log out</a> from Quote Confirmation mode."
"To add product to the Order mode <a href='%s'>switch the Shopping cart to Order mode.</a>","To add product to the Order mode <a href='%s'>switch the Shopping Cart to Order mode.</a>"
"TO:","TO:"
"Unable to send email.","Unable to send email."
"Unit price","Unit price"
"Unknown exception","Unknown exception"
"View Quote","View Quotation"
"You are in a quote confirmation mode, <a href='%s'>log out</a>.","You are in Quote Confirmation mode, <a href='%s'>log out</a>."
"You have placed no quotes.","You have placed no Quote Requests yet."
"You log out successfully from Quote confirmation mode.","You are logged out successfully from the Quote Confirmation mode."
"You will receive a quote confirmation email with a link to track progress.","You will receive a Quote Request confirmation email with a link to track progress."
"You're welcome to place a new Request for Quote","You're welcome to place a new Request"
"Your order list contains items that cannot quoted.","Your Shopping Cart contains items that cannot be Quoted."
"Your quote has been canceled","Your Quote Request has been Canceled"
"Your quote has been received","Your Request for a Quote has been received"
"Your quote list contains items that cannot ordered.","Your Quote Request contains items that cannot be Ordered."
"Your quote request has been received","Your Quote Request has been received"
"Your quote request has been submitted successfully.","Your Quote Request has been submitted successfully."
"Your shopping cart will be changed to Quote Request if you continue.","Your shopping cart will be changed to Quote Request if you continue."
"Zip/Postal Code","Zip/Postal Code"
"Add Qty", "Add Tier"
"enter your address", "enter your address"
"enter your city", "enter your city"
"enter your Zip", "enter your Zip"
"enter your state", "enter your state"
"Request a shipping quote", "Request a shipping quote"
"Total price", "Total price"